Object	        l       b       d       ed       HII    R       NHI    eNHI    NAlIII  eNAlIII  NSiIV  eNSiIV   NCIV   eNCIV    NOVI   eNOVI
HD_124314	312.67	-0.42	1.4	0.08	 ... 	3	21.34  0.10	13.28  0.19	13.43  0.09	14.20  0.04	13.76  0.11
HD_116658	316.11	50.84	0.1	0.05	 ... 	0	nan    nan 	nan    nan 	12.26  0.18	13.18  0.06	13.43  0.07
HD_124979	316.41	9.08	2.8	0.08	 ... 	0	21.30  0.11	13.22  0.03	12.91  0.14	13.44  0.11	14.08  0.07
HD_148422	329.92	-5.60	10.0	0.09	 ... 	1	21.15  0.12	nan    nan      13.63  0.26	13.92  0.18	14.10  0.14
HD_150898	329.98	-8.48	2.8	0.09	 ... 	0	20.90  0.12	nan    nan      13.82  0.01	14.17  0.03	13.84  0.22
HD_121968	333.97	55.84	3.8	0.17	 ... 	0	20.60  0.08	12.91  0.02	13.67  0.23	14.21  0.10	13.97  0.06
HD_151805	343.20	1.59	6.0	0.15	 ... 	1	21.36  0.11	13.40  0.12	nan    nan	nan    nan	14.06  0.12
HD_151932	343.23	1.43	2.0	0.09	 ... 	1	21.39  0.11	13.37  0.03	12.71  0.05	13.52  0.03	14.20  0.05
HD_152248	343.47	1.18	2.2	0.09	R113	2	nan    nan 	13.60  0.02	13.01  0.04	13.60  0.02	14.30  0.05
HD_152233	343.48	1.22	2.3	0.08	R113	2	21.29  0.10	13.34  0.01	13.20  0.62	13.67  0.19	14.32  0.02
HD_152314	343.52	1.14	2.6	0.19	R113	2	nan    nan 	13.46  0.07	nan    nan	13.64  0.06	13.92  0.30
HD_152623	344.62	1.61	1.5	0.08	R113	2	21.28  0.10	13.41  0.05	13.79  0.11	13.77  0.03	14.41  0.05
HD_152723	344.81	1.61	2.3	0.07	R113	1	21.43  0.13	13.72  0.10	13.81  0.40	13.93  0.02	14.42  0.07
HD_156292	345.35	-3.08	1.7	0.13	 ... 	1	nan    nan 	13.01  0.15	13.26  0.09	13.95  0.07	14.30  0.08
HD_153426	347.14	2.38	2.6	0.16	  S2	1	21.34  0.13	13.60  0.04	13.83  0.15	13.95  0.07	14.25  0.02
HD_163758	355.36	-6.10	4.7	0.07	 ... 	1	21.23  0.18	13.72  0.05	13.67  0.03	14.02  0.02	14.49  0.08
HD_177566	355.55	-20.42	1.1	0.18	 ... 	1	20.88  0.09	12.50  0.04	nan    nan      13.10  0.13	13.65  0.07
TONS210		224.97	-83.16	999 	999 	 ... 	0	20.20  0.05	nan    nan      13.62  0.06	14.43  0.06	14.57  0.02
HE0226-4110	253.94	-65.77	999 	999 	 ... 	0	20.27  0.05	nan    nan      13.41  0.04	13.95  0.07	14.00  0.09
MRK1044		179.69	-60.48	999 	999 	 ... 	0	nan    nan 	nan    nan 	nan    nan      13.87  0.07	14.26  0.13
PKS2155-304	17.73	-52.25	999 	999 	 ... 	0	20.12  0.04	nan    nan      13.36  0.04	14.06  0.02	14.31  0.02
PHL1811		47.47	-44.81	999 	999 	 ... 	0	20.59  0.04	nan    nan      13.61  0.02	14.30  0.02	14.39  0.03
PKS0405-12	204.93	-41.76	999 	999 	 ... 	0	20.54  0.04	nan    nan      13.43  0.04	14.08  0.05	13.97  0.05
MRK335		108.76	-41.42	999 	999 	 ... 	0	20.43  0.04	nan    nan      13.56  0.04	14.16  0.04	14.04  0.05
NGC1705		261.08	-38.74	999 	999 	 ... 	0	20.25  0.04	nan    nan      13.70  0.02	14.38  0.06	14.23  0.03
MRK509		35.97	-29.86	999 	999 	 ... 	0	20.61  0.04	nan    nan      13.89  0.02	14.51  0.03	14.68  0.01
ESO141-G55	338.18	-26.71	999 	999 	 ... 	0	20.79  0.04	nan    nan      13.91  0.07	nan    nan	14.53  0.03
HS0624+6907	145.71	23.35	999 	999 	 ... 	0	20.89  0.04	nan    nan      13.72  0.05	14.02  0.04	14.47  0.05
3C249.1		130.39	38.55	999 	999 	 ... 	0	20.45  0.04	nan    nan      13.40  0.05	13.91  0.05	14.38  0.04
MRK876		98.27	40.38	999 	999 	 ... 	0	20.38  0.04	nan    nan 	13.73  0.02	14.28  0.03	14.48  0.02
MRK205		125.45	41.67	999 	999 	 ... 	0	20.48  0.04	nan    nan 	13.56  0.03	14.15  0.06	14.24  0.04
NGC3516		133.24	42.40	999 	999 	 ... 	0	nan    nan 	nan    nan 	13.34  0.09	13.91  0.06	14.42  0.09
MRK279		115.04	46.86	999 	999 	 ... 	0	20.27  0.04	nan    nan 	13.65  0.02	14.21  0.02	14.41  0.01
PG0953+414	179.79	51.71	999 	999 	 ... 	0	20.09  0.04	nan    nan 	13.34  0.07	13.95  0.05	14.39  0.03
PG1302-102	308.59	52.16	999 	999 	 ... 	0	20.50  0.04	nan    nan 	13.73  0.05	14.22  0.05	14.24  0.04
MRK1383		349.22	55.12	999 	999 	 ... 	0	20.40  0.04	nan    nan 	13.79  0.04	14.45  0.05	14.62  0.02
PG1259+593	120.56	58.05	999 	999 	 ... 	0	19.90  0.04	nan    nan 	13.35  0.04	13.79  0.06	14.15  0.03
3C273.0		289.95	64.36	999 	999 	 ... 	0	20.22  0.04	nan    nan 	13.85  0.01	14.51  0.01	14.73  0.01
PG1116+215	223.36	68.21	999 	999 	 ... 	0	20.08  0.04	nan    nan 	13.70  0.02	14.21  0.03	14.23  0.03
NGC5548		31.96	70.50	999 	999 	 ... 	0	20.20  0.04	nan    nan 	13.82  0.02	14.45  0.03	14.48  0.06
PG1211+143	267.55	74.32	999 	999 	 ... 	0	20.42  0.04	nan    nan 	13.61  0.02	14.09  0.02	14.18  0.04
NGC3783		287.46	22.95	999 	999 	 ... 	0	20.98  0.04	nan    nan 	13.70  0.01	14.31  0.01	14.34  0.06
SK_-65_22(LMC)	276.40	-35.75	49.0	nan 	 ... 	0       nan    nan 	nan    nan 	13.26  0.02	13.96  0.02	14.20  0.02
SK_-67_211(LMC)	277.70	-32.16	49.0	nan 	 ... 	0	nan    nan 	nan    nan 	13.44  0.03	14.14  0.14	14.36  0.02
SK_-69_246(LMC)	278.38	-31.66	49.0	nan 	 ... 	0	nan    nan 	nan    nan 	13.37  0.02	13.92  0.03	14.11  0.08
SK_-71_45(LMC)	281.86	-32.02	49.0	nan 	 ... 	0	nan    nan 	nan    nan 	13.52  0.03	14.10  0.02	14.34  0.02
SN1987A(LMC)	279.70	-31.94	49.0	nan 	 ... 	0	nan    nan 	13.14  0.05	13.55  0.06	14.15  0.05	nan    nan 
HD_5980(SMC)	302.07	-44.95	61.0	nan 	 ... 	0	nan    nan 	12.97  0.04	13.82  0.11	14.35  0.04	14.25  0.06


## Note: change all the upper/lower/: measurement to nan
## change AGN distance to 999 
