#nid    ID    RA    DEC    l    b    S/N    z    MM_Ep130    N_Ep130
 61                HE2332-3556  353.6851  -35.6631    0.5908  -71.5884    8.2  0.110   0.0  6
 62                HE2347-4342  357.6426  -43.4333  336.0339  -69.5736   24.9  2.885  56.3  32
 63                HS1102+3441  166.4158   34.4262  188.5633   66.2186   18.7  0.508   0.0  9
 64                HS1831+5338  278.2071   53.6728   82.5864   24.2127   18.4  0.039   0.0  3
 65            IRASF00040+4325    1.6524   43.7079  114.4161  -18.4214   23.7  0.166   0.0  8
 66           IRAS-F04250-5718   66.5032  -57.2003  266.9868  -41.9963   83.1  0.104   0.0  8
 67           IRAS-F22456-5125  342.1717  -51.1648  338.5115  -56.6295   55.3  0.100   0.0  5
 68           IRAS-L06229-6434   95.7820  -64.6058  274.3115  -27.3195   31.8  0.128   8.9  4
 69                       IZW1   13.3955   12.6934  123.7485  -50.1750   25.0  0.058  26.6  12
 70        J083220.08+243100.5  128.0837   24.5168  199.7679   32.2963    9.9  1.305   0.4  4
 71        J084159.13+140642.1  130.4964   14.1117  212.1412   30.7673   10.7  1.255   0.0  4
 72        J091728.56+271951.0  139.3690   27.3308  199.7215   42.8242    7.9  0.075   2.2  6
 73        J102056.37+100332.7  155.2349   10.0591  231.3484   50.6876    5.7  0.608   0.0  3
 74        J102512.86+480853.2  156.3036   48.1481  166.4472   54.7499   12.0  0.332   0.0  4
 75        J112632.91+120437.3  171.6372   12.0771  245.8828   65.0496    9.6  0.977   0.0  3
 76        J115709.77+090607.3  179.2907    9.1020  264.9672   67.8785    8.6  0.304   6.6  7
 77        J115722.44+114040.7  179.3435   11.6780  260.9139   70.0052    6.4  0.290   0.1  4
 78        J123113.12+120307.2  187.8047   12.0520  284.4885   74.1953   10.6  0.116   0.0  4
 79        J133912.37+535527.3  204.8016   53.9243  107.9911   61.7965    6.4  0.292   0.0  3
 80        J134447.56+554656.8  206.1982   55.7824  107.9986   59.7720    5.7  0.937   0.0  4
 81        J135426.08+144151.4  208.6087   14.6976  355.8128   70.7762   10.2  0.214   1.8  4
 82        J140854.17+565743.3  212.2257   56.9620  103.4678   57.1420   10.0  0.336   0.0  4
 83                 J1419P3203  214.8196   32.0508   52.6899   70.3187    8.2  0.377   0.0  4
 84        J153314.28+150103.0  233.3095   15.0175   23.4613   50.5588    7.0    nan   0.2  4
 85                 J1544P2827  236.1272   28.4658   45.3168   51.9099    7.1  0.231   0.0  4
 86        J155855.34+125555.3  239.7306   12.9320   24.5626   44.0310    7.4  0.287   0.2  4
 87                     KAZ238    0.2425   33.3440  110.9649  -28.3522    7.5  0.043   0.1  8
 88             LBQS-0107-0235   17.5548   -2.3314  134.0062  -64.7985   10.8  0.957   0.5  10
 89             LBQS-1435-0134  219.4512   -1.7863  348.7184   51.3746   31.1  1.310   0.3  8
 90                    MARK509  311.0407  -10.7235   35.9711  -29.8554  103.7  0.034  34.0  8
 91              MCG+10-22-028  234.5419   57.6036   90.8791   47.8281    5.9  0.073   0.0  3
 92                 MR2251-178  343.5245  -17.5820   46.1974  -61.3256   36.1  0.063   0.0  4
 93                   MRK-1044   37.5230   -8.9981  179.6945  -60.4774   21.9  0.016   0.0  4
 94                     MRK106  139.9807   55.3604  161.1387   42.8795   27.1  0.123   0.0  5
 95                   MRK-1253  154.8869   -3.3375  246.6971   42.3646    8.6  0.049   0.0  4
 96                    MRK1392  226.4856    3.7073    2.7540   50.2640   27.7  0.036   0.0  4
 97                    MRK1513  323.1163   10.1385   63.6699  -29.0700   30.1  0.062   0.0  4
 98                    MRK-231  194.0588   56.8735  121.6114   60.2424    9.7  0.042   0.0  20
 99                    MRK-279  208.2644   69.3082  115.0415   46.8647    7.1  0.030   0.0  4
100                     MRK290  233.9679   57.9025   91.4892   47.9536   23.4  0.029   0.0  4
101                     MRK304  334.3011   14.2391   75.9894  -34.2225   25.4  0.065  10.4  6
102                     MRK486  234.1604   54.5589   86.9152   49.3935    6.0  0.038   0.0  3
103                     MRK504  255.2825   29.4069   51.0795   35.6490    8.1  0.035   0.0  3
104                     MRK595   40.3954    7.1872  164.7594  -46.5455    9.3  0.026   0.0  3
105                     MRK817  219.0920   58.7943  100.2997   53.4783   47.4  0.031   4.8  8
106                     MRK841  226.0050   10.4378   11.2091   54.6321   18.2  0.036   0.0  4
107                     MRK876  243.4883   65.7194   98.2694   40.3757   72.2  0.129   0.0  6
108              MS1217.0+0700  184.8787    6.7261  281.1022   68.2344   11.3  0.080   0.0  4
109                   NGC-3516  166.6979   72.5686  133.2357   42.4028   17.8  0.008   3.6  5
110                   NGC-3783  174.7572  -37.7386  287.4560   22.9475   30.3  0.009  22.1  8
111                   NGC-4051  180.7900   44.5313  148.8831   70.0851   19.6  0.002   0.0  2
112                   NGC-5548  214.4981   25.1368   31.9606   70.4958  165.8  0.017  55.0  389
113                   NGC-7469  345.8151    8.8740   83.0986  -45.4667   64.0  0.016  62.2  41
114                    NGC-985   38.6578   -8.7881  180.8371  -59.4902   44.8  0.042  17.5  12
115                     PDS456  262.0825  -14.2655   10.3922   11.1635    9.3  0.184   0.0  4
116                 PG0003+158    1.4968   16.1636  107.3184  -45.3258   24.2  0.450   0.0  7
117                 PG0044+030   11.7746    3.3319  120.7962  -59.5218    7.6  0.623   0.0  2
118                 PG0052+251   13.7172   25.4275  123.9075  -37.4378   24.7  0.154   0.0  8
119                 PG0804+761  122.7442   76.0449  138.2789   31.0327   65.1  0.100   0.0  4
120                 PG0832+251  128.8992   24.9947  199.4907   33.1462   10.9  0.329   0.0  5
121                 PG0923+201  141.4780   19.9014  210.1767   42.6498   12.1  0.192   0.0  4
122                 PG0953+414  149.2184   41.2561  179.7861   51.7091   39.6  0.234   0.0  4
123                 PG1001+291  151.0108   28.9264  200.0835   53.2069   20.3  0.327   0.0  5
124                 PG1011-040  153.5862   -4.3112  246.5011   40.7487   29.7  0.058   0.0  4
125                 PG1048+342  162.9329   33.9907  190.6024   63.4374   21.6  0.167   0.0  5
126                 PG1112+431  168.7752   42.8301  167.8871   64.9398   18.2  0.301   0.0  3
127                 PG1116+215  169.7858   21.3217  223.3597   68.2091   45.0  0.176   0.0  4
128                 PG1121+422  171.1633   42.0292  167.2577   66.8587   18.2  0.225   0.0  4
129                 PG1126-041  172.3197   -4.4021  267.6306   52.7453   28.4  0.061  25.5  28
130                 PG1202+281  181.1760   27.9033  205.9628   79.6131    6.4  0.165   0.0  3
131                 PG1216+069  184.8372    6.6440  281.0714   68.1433   22.5  0.331   0.0  4
132                 PG1222+216  186.2269   21.3795  255.0733   81.6598   19.1  0.432   0.0  5
133                 PG1259+593  195.3038   59.0353  120.5556   58.0478   35.5  0.477   0.0  4
134                 PG1309+355  198.0740   35.2559   95.4902   80.7328   10.1  0.182   0.0  4
135                PG-1338+416  205.2533   41.3872   90.5870   72.4837   16.6  1.217   0.2  8
136                 PG1351+640  208.3160   63.7627  111.8940   52.0203   11.8  0.088   0.0  4
137                 PG1352+183  208.6487   18.0882    4.3748   72.8738   25.4  0.152   0.0  4
138                PG-1407+265  212.3496   26.3058   34.6687   72.5886   38.8  0.940   0.3  6
139                 PG1435-067  219.5673   -6.9724  343.9784   47.2062   16.0  0.126   0.0  4
140                 PG1626+554  246.9838   55.3754   84.5149   42.1886   29.1  0.133   0.0  4
141                 PG2112+059  318.7191    6.1284   57.0402  -28.0146   11.8  0.466   0.0  4
142                    PHL1226   28.6166    4.8052  150.7961  -54.6206   10.7  0.404   0.0  12
143                    PHL1811  328.7563   -9.3736   47.4732  -44.8152   41.9  0.190   0.0  4
144                    PHL2525    0.1018  -12.7633   80.6834  -71.3172   18.0  0.198   0.0  2
145                PKS0405-123   61.9518  -12.1935  204.9271  -41.7563   78.2  0.572   4.6  18
146                PKS0552-640   88.1021  -64.0363  273.4656  -30.6114   29.7  0.680   0.0  4
147                PKS0558-504   89.9475  -50.4478  257.9622  -28.5693   18.3  0.137   0.0  2
148                 PKS1136-13  174.7946  -13.8456  277.5252   45.4316   16.8  0.556   0.0  3
149                PKS2005-489  302.3558  -48.8316  350.3731  -32.6008   22.6  0.071   0.0  4
150                PKS2155-304  329.7169  -30.2256   17.7305  -52.2459   49.4  0.116   0.0  5
151              PMNJ1103-2329  165.9067  -23.4917  273.1895   33.0796   15.6  0.186   0.0  5
152              PMNJ2345-1555  356.3019  -15.9188   65.6728  -70.9852   14.5  0.621   0.0  5
153                  Q0246-308   42.0917  -30.6352  227.7468  -64.2377    8.8  1.093   0.2  6
154                  Q0349-146   57.8690  -14.4856  205.4845  -46.3249   14.9  0.616   0.0  4
155                  Q0439-433   70.3222  -43.2293  247.9801  -41.3828   19.3  0.593   0.0  10
156                  Q1545+210  236.9313   20.8713   33.8982   49.4575   17.2  0.264   0.0  8
157              QSO-1504-4152  225.8917  -41.8732  327.7256   14.5502    7.8  0.335   0.0  16
158              QSO-B0026+129    7.3071   13.2678  114.6377  -49.2460   17.5  0.142   0.0  4
159             QSO-B0906+3248  137.2757   32.6084  192.2375   42.0254    8.8  0.810   0.0  4
160              QSO-B1124+271  171.9016   26.9140  208.7787   71.3504    6.1  0.379   0.0  2
161              QSO-B1139+305  175.5513   30.2704  197.1451   74.5130    5.9  0.481   0.0  4
162              QSO-B1229+204  188.0150   20.1582  269.4422   81.7395   16.7  0.063   0.0  4
163              QSO-B1307+085  197.4459    8.3301  316.7866   70.7067   20.1  0.155   0.0  4
164             QSO-B1440+3539  220.5311   35.4397   59.2377   65.0346   20.6  0.079   0.0  4
165             QSO-B1617+1731  245.0470   17.4076   32.8943   41.0759   16.2  0.112   0.0  4
166              QSO-B2356-309  359.7831  -30.6280   12.8387  -78.0356   15.0  0.165   0.1  7
167                     RBS144   15.1130  -51.2318  299.4835  -65.8360   22.1  0.062   0.0  2
168                    RBS1666  301.4708  -41.5784  358.7327  -31.0031   20.1  0.079   0.0  4
169                    RBS1892  341.3346  -46.8699  345.8979  -58.3672   19.9  0.200   0.0  2
170                    RBS2000  351.1861  -40.6804  350.1952  -67.5845   17.3  0.173   0.0  4
171                    RBS2023  353.7187  -35.6450    0.6110  -71.6204   10.8  0.098   0.0  8
172                    RBS2055  357.9699   26.3257  106.6723  -34.6585   19.8  0.040   0.0  8
173                     RBS563   69.6215  -61.7997  272.2534  -39.2259   14.6  0.069   0.0  2
174             RXJ0439.6-5311   69.9110  -53.1921  261.2160  -40.9268   16.9  0.243   0.0  5
175             RXJ1230.8+0115  187.7083    1.2560  291.2603   63.6598   64.9  0.117   0.0  4
176             RXJ2043.1+0324  310.7762    3.4143   49.7201  -22.8789   14.8  0.271   0.0  4
177             RXJ2139.7+0246  324.9341    2.7682   58.0876  -35.0060   14.8  0.260   0.0  4
178             RXJ2154.1-4414  328.7128  -44.2350  355.1792  -50.8646   27.3  0.344   0.0  4
179            RXS-J00057-5007    1.4294  -50.1151  320.7101  -65.4054   27.8  0.033   0.0  6
180             RXSJ00537+2232   13.4423   22.5395  123.6380  -40.3291    9.8  0.148   0.0  8
181             RXSJ01188+3836   19.7058   38.6056  128.7826  -23.9549    9.7  0.216   0.0  8
182             RXSJ09565-0452  149.1257   -4.8881  243.3319   37.0045   17.4  0.157   0.0  3
183             RXSJ15032+6809  225.8183   68.1683  106.4517   44.5061    9.5  0.114   0.0  2
184            RXS-J21388-3828  324.7079  -38.4779    4.5093  -48.4647   23.0  0.182   0.0  5
185            RXS-J23218-7026  350.4629  -70.4456  313.2924  -44.8373   31.8  0.300   0.0  9
186                 S50716+714  110.4727   71.3434  143.9810   28.0176   35.4  0.300   0.0  5
187                SBS1458+534  224.9567   53.3192   89.6204   54.6929    8.2  0.338   0.0  3
188                SBS1518+593  229.8402   59.1399   94.8015   49.1222    9.3  0.078   0.0  2
189                SBS1521+598  230.4742   59.6722   95.1831   48.5527    6.9  0.286   0.0  3
190                SBS1527+564  232.2815   56.2682   90.0061   49.5519   10.0  0.099   0.0  2
191                SBS1624+575  246.3604   57.4575   87.3480   42.0018   10.0  0.067   0.0  3
192    SDSSJ021218.32-073719.8   33.0764   -7.6222  171.1493  -62.6554    8.2  0.173   1.8  3
193    SDSSJ024250.85-075914.2   40.7119   -7.9873  182.1522  -57.4171    6.4  0.377   0.0  3
194    SDSSJ031027.82-004950.7   47.6158   -0.8308  180.5367  -47.5388    9.1  0.080   0.0  3
195    SDSSJ080359.23+433258.4  120.9968   43.5496  176.3972   30.9950    6.1  0.448   0.0  2
196    SDSSJ080908.13+461925.6  122.2839   46.3238  173.3223   32.2889   11.6  0.658   0.0  3
197    SDSSJ082024.21+233450.4  125.1009   23.5807  199.8037   29.4163    7.9  0.470   0.0  2
198    SDSSJ082633.51+074248.3  126.6396    7.7134  216.8903   24.6341    7.4  0.310   0.0  2
199    SDSSJ085259.22+031320.6  133.2467    3.2224  224.7534   28.3667    5.1  0.297   0.0  2
200    SDSSJ092909.79+464424.0  142.2908   46.7400  172.5843   46.0100   16.0  0.239   0.0  2
201   SDSS-J093706.85+170021.5  144.2785   17.0060  215.1819   44.1388    6.1  0.505   0.0  5
202    SDSSJ094733.21+100508.7  146.8884   10.0858  225.3726   43.5395   10.9  0.139   0.0  2
203    SDSSJ100102.55+594414.3  150.2610   59.7373  152.5697   46.3865   10.8  0.747   0.0  3
204    SDSSJ101622.60+470643.3  154.0942   47.1120  169.0288   53.7423    6.7  0.822  36.0  4
205    SDSSJ102218.99+013218.8  155.5791    1.5386  242.1600   46.0656    6.7  0.790   0.0  2
206    SDSSJ110312.93+414154.9  165.8040   41.6986  172.5526   63.5238    7.6  0.403   0.0  2
207    SDSSJ110406.94+314111.4  166.0290   31.6865  195.4121   66.2495    9.1  0.435   0.0  3
208    SDSSJ111754.31+263416.6  169.4760   26.5713  209.1002   69.1600    7.9  0.422   0.0  3
209   SDSS-J115552.80+292238.4  178.9700   29.3773  199.2657   77.5683    6.5  0.519   0.0  4
210    SDSSJ115758.72-002220.8  179.4947   -0.3725  275.7139   59.6441    6.9  0.260   0.0  3
211    SDSSJ120720.99+262429.1  181.8375   26.4081  214.6163   80.1361    6.7  0.322   0.0  2
212    SDSSJ121114.56+365739.5  182.8110   36.9610  161.2592   77.0081    9.7  0.171   0.0  3
213    SDSSJ121430.55+082508.1  183.6273    8.4189  276.1860   69.3503    7.6  0.586   0.0  4
214    SDSSJ121640.56+071224.3  184.1690    7.2068  278.8592   68.4384    6.6  0.587   0.0  2
215    SDSSJ121716.08+080942.0  184.3170    8.1617  278.2542   69.3797    9.4  0.343   0.0  2
216    SDSSJ121850.51+101554.2  184.7105   10.2651  276.8990   71.4701    8.5  0.542   0.0  4
217    SDSSJ122035.10+385316.4  185.1463   38.8879  149.7092   76.5920    5.3  0.376   0.0  2
218    SDSSJ122512.93+121835.6  186.3039   12.3099  279.1271   73.9574    7.5  0.411   0.0  2
219    SDSSJ122520.13+084450.7  186.3339    8.7474  283.1563   70.6104    5.1  0.535   0.0  2
220    SDSSJ123235.82+060310.0  188.1492    6.0528  290.0851   68.4533   12.0  0.083   0.0  4
221    SDSSJ123304.05-003134.1  188.2669   -0.5262  293.1140   61.9949   11.0  0.470  20.8  4
222    SDSSJ123335.07+475800.4  188.3962   47.9668  131.2436   68.8723    8.5  0.382  28.1  4
223    SDSSJ123426.80+072411.3  188.6117    7.4032  290.6100   69.8674    5.4  0.844   0.0  2
224    SDSSJ123604.02+264135.9  189.0165   26.6933  219.2929   86.5458    6.0  0.209   0.0  2
225   SDSS-J124129.64+285212.0  190.3735   28.8700  173.9209   87.1981    7.0  0.589   0.0  4
226    SDSSJ124511.25+335610.1  191.2969   33.9361  133.7244   83.0607    5.8  0.711   0.0  2
227   SDSS.J125846.67+242739.1  194.6944   24.4609  335.1088   86.8626    6.4  0.371   0.0  6
228   SDSS.J130429.04+311308.2  196.1210   31.2190   88.8708   85.0164    9.2  0.806   0.0  8
229    SDSSJ132222.68+464535.2  200.5945   46.7598  107.7083   69.4433    7.2  0.374  22.6  4
230    SDSSJ133045.15+281321.4  202.6881   28.2226   42.3677   81.2298    7.5  0.417   0.0  2
231    SDSSJ134206.56+050523.8  205.5270    5.0900  333.8871   64.8712    8.5  0.263   0.0  3
232    SDSSJ134231.22+382903.4  205.6305   38.4843   82.8658   74.4054    9.9  0.171   0.0  3
233    SDSSJ134246.89+184443.6  205.6950   18.7455    0.2433   75.5250    7.5  0.383   0.0  3
234    SDSSJ134251.60-005345.3  205.7150   -0.8959  328.8190   59.3665    8.4  0.326  36.1  4
235    SDSSJ135341.03+361948.0  208.4212   36.3298   71.6679   73.9143   18.2  0.146   0.0  8
236   SDSS-J135424.90+243006.3  208.6038   24.5018   25.9453   75.5961    5.2  1.892   0.0  4
237    SDSSJ135625.55+251523.7  209.1060   25.2566   29.2703   75.3127    7.7  0.164   0.0  2
238   SDSS-J141038.39+230447.1  212.6600   23.0798   24.5712   71.6404   10.3  0.795   0.0  4
239    SDSSJ141542.90+163413.8  213.9288   16.5705    8.8491   67.8261   17.1  0.743   0.7  7
240    SDSSJ141910.20+420746.9  214.7925   42.1297   78.5766   66.6566    5.7  0.874   0.0  3
241    SDSSJ143511.53+360437.2  218.7980   36.0770   61.5230   66.2579    5.7  0.429   0.0  3
242    SDSSJ145108.76+270926.9  222.7860   27.1575   39.9451   63.4336    8.5  0.065   0.0  3
243   SDSS-J145424.33+304658.3  223.6014   30.7829   48.0681   62.9391    6.3  0.465   0.0  5
244    SDSSJ145907.58+714019.9  224.7816   71.6722  109.9829   42.0971   10.0  0.905   0.1  6
245   SDSS-J150928.29+070235.7  227.3679    7.0433    7.7979   51.6067    7.4  0.418   0.0  5
246   SDSS-J151507.43+065708.3  228.7810    6.9523    8.9698   50.4101    5.5  0.268   0.0  5
247    SDSSJ155048.29+400144.9  237.7012   40.0291   63.9644   50.9400    6.5  0.497   0.0  2
248    SDSSJ155504.39+362848.0  238.7683   36.4800   58.3163   50.2662    5.7  0.714   0.0  2
249    SDSSJ161649.42+415416.3  244.2059   41.9046   66.2768   45.9124    6.5  0.441   0.0  2
250    SDSSJ170328.90+614109.0  255.8708   61.6860   91.2706   36.3699    9.8  0.077   0.0  3
251    SDSSJ171737.95+655939.3  259.4083   65.9942   96.1419   34.0998    7.8  0.292   0.0  3
252    SDSSJ225738.20+134045.4  344.4092   13.6793   85.2834  -40.7284    5.5  0.594   0.0  3
253    SDSSJ234500.43-005936.0  356.2518   -0.9934   88.7929  -59.3884    6.4  0.790   0.0  2
254                    TON0694  195.8042   28.1855   55.6754   87.1857    5.5  1.302   0.0  4
255                    TON1187  153.2633   35.8564  188.3290   55.3778   17.4  0.079   0.0  2
256                     TON236  232.1692   28.4249   44.4333   55.3506   18.0  0.450   0.0  4
257                    TONS210   20.4646  -28.3494  224.9715  -83.1603   43.5  0.116   0.0  6
258                   VIIZW244  131.1886   76.8860  136.6575   32.6778   29.3  0.131   0.0  5
259    VV2006-J095240.2+515250  148.1674   51.8806  163.8954   48.5293   10.7  0.554   0.3  16
260    VV2006-J105910.9+051935  164.7954    5.3265  247.1044   55.5159    5.6  0.755   0.0  4
261    VV2006-J111507.6+023757  168.7819    2.6326  255.5500   56.3709    7.5  0.567   0.0  5
262    VV2006-J125124.6+055420  192.8527    5.9056  302.9134   68.7774    5.4  1.384   0.0  5
263    VV2006-J130524.3+035731  196.3511    3.9586  311.7287   66.5915    9.4  0.545   0.0  5
264      VV96-J100254.6+324039  150.7271   32.6775  193.8005   53.2964    5.5  0.828   0.0  5
265                  ZW535.012    9.0872   45.6648  120.1742  -17.1262   16.8  0.047  11.0  17
266    2MASX-J16194054+2543233  244.9190   25.7231   43.5891   43.7000    9.1  0.269   0.0  8
267                FBS0150+396   28.2781   39.9292  135.5828  -21.4226    6.2  0.211   0.0  8
268      ICRF-J122011.8+020342  185.0495    2.0617  284.9919   63.8400   14.6  0.240   0.0  4
269        J113325.77+242327.8  173.3574   24.3911  217.4320   72.2427    5.2  0.534   0.0  4
270        J114046.06+113649.5  175.1919   11.6138  252.5872   67.2861    6.0  0.687   0.0  4
271        J114434.72+070516.4  176.1447    7.0879  261.5169   64.4402    9.3  0.074   0.0  4
272        J120917.35+261613.1  182.3223   26.2703  215.7521   80.5502    7.8  0.577   0.0  4
273        J122137.93+043026.1  185.4081    4.5073  284.1790   66.2878    9.3  0.094   0.0  4
274        J122330.78+154507.3  185.8783   15.7520  271.8420   76.9067    6.8  0.080   0.0  4
275        J131447.07+260624.1  198.6961   26.1067   23.1732   84.6835    6.8  0.071   0.0  4
276        J141505.91+044546.1  213.7746    4.7628  348.3522   60.0357    6.9  0.241   0.0  4
277        J143216.78+095519.2  218.0699    9.9220    1.8393   60.6617    8.8  0.767   0.0  4
278        J152447.75+041919.8  231.1990    4.3222    7.8466   46.9234    5.2  0.711   0.0  4
279        J155821.86+120533.2  239.5911   12.0926   23.4310   43.7888    5.2  0.574   0.1  4
280        J161723.67+085414.7  244.3486    8.9041   22.4698   38.1747    7.7  0.206   0.0  4
281              QSO-B0952+457  148.9159   45.5380  173.1141   50.7408    7.3  0.259   0.0  4
282             RXSJ00437+3725   10.9269   37.4219  121.2326  -25.4243   17.5  0.079   0.0  8
283   SDSS-J141309.14+092011.2  213.2879    9.3364  354.0969   63.7590   16.2  0.460   0.0  8
284    SDSSJ094840.08+580039.1  147.1670   58.0109  155.8267   45.7313    6.4  0.491   0.0  4
285    SDSSJ110052.33+283801.2  165.2180   28.6337  202.9115   65.5747    7.9  0.242   0.0  6
286    SDSSJ110307.57+291230.0  165.7816   29.2085  201.5582   66.0912   10.3  0.365   0.2  10
287    SDSSJ153644.90+141229.7  234.1871   14.2083   22.8780   49.4473    5.7  0.399   0.0  4
288    SDSSJ232259.98-005359.2  350.7500   -0.8998   80.2738  -56.2637    8.8  0.150   0.0  4
289    VV2006-J092542.3+344108  141.4264   34.6857  189.9464   45.7029    7.6  1.067   0.0  4
290    VV2006-J101814.0+054625  154.5583    5.7737  236.3039   47.7961    7.1  0.468   0.0  4
291    VV2006-J222836.3-095009  337.1514   -9.8358   53.2369  -52.1801    8.7  0.797   0.0  4
